cty,industry,industry_naics_code,industry_employment
1047,"Professional, scientific, & technical services",54,213
1047,Management of companies & enterprises,55,0
1047,Administrative & support & waste management & remediation serv,56,539
1047,Educational services,61,234
1047,Health care & social assistance,62,2191
1047,"Arts, entertainment, & recreation",71,80
1047,Accommodation & foodservices,72,647
1047,Other services (except public administration),81,661
1047,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1047,Unclassified,99,0
1049,"Agriculture, forestry, fishing, & hunting",11,0
1049,Mining,21,0
1049,Utilities,22,0
1049,Construction,23,536
1049,Manufacturing,31,12338
1049,Wholesale trade,42,668
1049,Retail Trade,44,2189
1049,Transportation & Warehousing,48,351
1049,Information,51,273
1049,Finance & insurance,52,510
1049,Real estate & rental & leasing,53,167
1049,"Professional, scientific, & technical services",54,617
1049,Management of companies & enterprises,55,0
1049,Administrative & support & waste management & remediation serv,56,235
1049,Educational services,61,51
1049,Health care & social assistance,62,1733
1049,"Arts, entertainment, & recreation",71,130
1049,Accommodation & foodservices,72,1351
1049,Other services (except public administration),81,385
1049,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1049,Unclassified,99,18
1051,"Agriculture, forestry, fishing, & hunting",11,93
1051,Mining,21,0
1051,Utilities,22,149
1051,Construction,23,1115
1051,Manufacturing,31,2220
1051,Wholesale trade,42,381
1051,Retail Trade,44,1971
1051,Transportation & Warehousing,48,232
1051,Information,51,107
1051,Finance & insurance,52,318
1051,Real estate & rental & leasing,53,78
1051,"Professional, scientific, & technical services",54,293
1051,Management of companies & enterprises,55,0
1051,Administrative & support & waste management & remediation serv,56,165
1051,Educational services,61,0
1051,Health care & social assistance,62,1057
1051,"Arts, entertainment, & recreation",71,77
1051,Accommodation & foodservices,72,1023
1051,Other services (except public administration),81,840
1051,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1051,Unclassified,99,9
1053,"Agriculture, forestry, fishing, & hunting",11,184
1053,Mining,21,139
1053,Utilities,22,98
1053,Construction,23,462
1053,Manufacturing,31,2311
1053,Wholesale trade,42,1135
1053,Retail Trade,44,1703
1053,Transportation & Warehousing,48,1083
1053,Information,51,191
1053,Finance & insurance,52,493
1053,Real estate & rental & leasing,53,0
1053,"Professional, scientific, & technical services",54,185
1053,Management of companies & enterprises,55,127
1053,Administrative & support & waste management & remediation serv,56,139
1053,Educational services,61,0
1053,Health care & social assistance,62,1204
1053,"Arts, entertainment, & recreation",71,230
1053,Accommodation & foodservices,72,848
1053,Other services (except public administration),81,452
1053,Unclassified,99,0
1055,"Agriculture, forestry, fishing, & hunting",11,34
1055,Mining,21,0
1055,Utilities,22,0
1055,Construction,23,1275
1055,Manufacturing,31,6397
1055,Wholesale trade,42,1270
1055,Retail Trade,44,4821
1055,Transportation & Warehousing,48,895
1055,Information,51,444
1055,Finance & insurance,52,957
1055,Real estate & rental & leasing,53,398
1055,"Professional, scientific, & technical services",54,552
1055,Management of companies & enterprises,55,112
1055,Administrative & support & waste management & remediation serv,56,4355
1055,Educational services,61,439
1055,Health care & social assistance,62,5386
1055,"Arts, entertainment, & recreation",71,279
1055,Accommodation & foodservices,72,2830
1055,Other services (except public administration),81,1735
1055,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,350
1055,Unclassified,99,43
1057,"Agriculture, forestry, fishing, & hunting",11,269
1057,Mining,21,0
1057,Utilities,22,0
1057,Construction,23,75
1057,Manufacturing,31,2063
1057,Wholesale trade,42,0
1057,Retail Trade,44,681
1057,Transportation & Warehousing,48,197
1057,Information,51,83
1057,Finance & insurance,52,92
1057,Real estate & rental & leasing,53,0
1057,"Professional, scientific, & technical services",54,35
1057,Management of companies & enterprises,55,0
1057,Administrative & support & waste management & remediation serv,56,119
1057,Educational services,61,0
1057,Health care & social assistance,62,880
1057,"Arts, entertainment, & recreation",71,0
1057,Accommodation & foodservices,72,220
1057,Other services (except public administration),81,127
1057,Unclassified,99,4
1059,"Agriculture, forestry, fishing, & hunting",11,188
1059,Mining,21,78
1059,Utilities,22,0
1059,Construction,23,241
1059,Manufacturing,31,4634
1059,Wholesale trade,42,314
1059,Retail Trade,44,945
1059,Transportation & Warehousing,48,158
1059,Information,51,69
1059,Finance & insurance,52,382
1059,Real estate & rental & leasing,53,0
1059,"Professional, scientific, & technical services",54,60
1059,Management of companies & enterprises,55,0
1059,Administrative & support & waste management & remediation serv,56,0
1059,Health care & social assistance,62,792
1059,"Arts, entertainment, & recreation",71,0
1059,Accommodation & foodservices,72,488
1059,Other services (except public administration),81,217
1059,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1059,Unclassified,99,0
1061,"Agriculture, forestry, fishing, & hunting",11,0
1061,Mining,21,0
1061,Utilities,22,64
1061,Construction,23,220
1061,Manufacturing,31,817
1061,Wholesale trade,42,372
1061,Retail Trade,44,764
1061,Transportation & Warehousing,48,78
1061,Information,51,0
1061,Finance & insurance,52,193
1061,Real estate & rental & leasing,53,74
